"ad_id","xyz_campaign_id","fb_campaign_id","age","gender","interest","impressions","clicks","spent","total_conversion","approved_conversion"
711764.0,916.0,104419.0,"45-49","F",10.0,11199.0,4.0,5.730000019,1.0,1.0
711785.0,916.0,104423.0,"45-49","F",19.0,292.0,0.0,0.0,1.0,0.0
711877.0,916.0,104438.0,"45-49","F",63.0,17572.0,7.0,9.379999995,1.0,0.0
712052.0,916.0,104467.0,"45-49","F",10.0,1448.0,0.0,0.0,1.0,1.0
734209.0,936.0,108654.0,"30-34","M",10.0,1772.0,0.0,0.0,1.0,1.0
734210.0,936.0,108654.0,"30-34","M",10.0,13329.0,4.0,5.629999995,1.0,1.0
734215.0,936.0,108655.0,"30-34","M",15.0,13659.0,3.0,3.840000033,1.0,0.0
734243.0,936.0,108660.0,"30-34","M",21.0,739.0,0.0,0.0,1.0,1.0
734266.0,936.0,108664.0,"30-34","M",25.0,605.0,0.0,0.0,1.0,0.0
734272.0,936.0,108665.0,"30-34","M",26.0,1030.0,0.0,0.0,1.0,0.0
734290.0,936.0,108668.0,"30-34","M",29.0,5374.0,1.0,1.039999962,4.0,0.0
734313.0,936.0,108672.0,"30-34","M",36.0,790.0,0.0,0.0,1.0,1.0
734314.0,936.0,108672.0,"30-34","M",36.0,962.0,0.0,0.0,1.0,0.0
734352.0,936.0,108678.0,"35-39","M",10.0,4423.0,1.0,1.460000038,1.0,1.0
734361.0,936.0,108680.0,"35-39","M",16.0,12382.0,2.0,2.839999914,1.0,1.0
734381.0,936.0,108683.0,"35-39","M",20.0,2938.0,1.0,1.350000024,1.0,1.0
734399.0,936.0,108686.0,"35-39","M",23.0,239.0,0.0,0.0,1.0,0.0
734418.0,936.0,108689.0,"35-39","M",26.0,591.0,0.0,0.0,1.0,0.0
734421.0,936.0,108690.0,"35-39","M",27.0,10332.0,4.0,5.75,1.0,0.0
734427.0,936.0,108691.0,"35-39","M",28.0,8259.0,3.0,3.980000019,1.0,0.0
734433.0,936.0,108692.0,"35-39","M",29.0,12158.0,3.0,4.449999928,1.0,0.0
734582.0,936.0,108716.0,"40-44","M",29.0,7709.0,2.0,1.320000052,2.0,0.0
734605.0,936.0,108720.0,"40-44","M",36.0,834.0,0.0,0.0,1.0,0.0
734660.0,936.0,108729.0,"45-49","M",18.0,1299.0,0.0,0.0,2.0,0.0
734666.0,936.0,108730.0,"45-49","M",19.0,371.0,0.0,0.0,1.0,0.0
734726.0,936.0,108740.0,"45-49","M",29.0,10466.0,3.0,4.090000033,1.0,0.0
734737.0,936.0,108742.0,"45-49","M",31.0,839.0,0.0,0.0,1.0,0.0
734785.0,936.0,108750.0,"30-34","F",10.0,5576.0,1.0,1.529999971,1.0,1.0
734794.0,936.0,108752.0,"30-34","F",16.0,4010.0,0.0,0.0,1.0,0.0
734796.0,936.0,108752.0,"30-34","F",16.0,39337.0,7.0,10.03000009,1.0,1.0
734800.0,936.0,108753.0,"30-34","F",18.0,1635.0,0.0,0.0,1.0,0.0
734803.0,936.0,108753.0,"30-34","F",18.0,1631.0,0.0,0.0,1.0,0.0
734852.0,936.0,108761.0,"30-34","F",26.0,13479.0,3.0,4.25,1.0,0.0
734854.0,936.0,108762.0,"30-34","F",27.0,57022.0,13.0,20.29000032,3.0,3.0
734856.0,936.0,108762.0,"30-34","F",27.0,5453.0,1.0,1.389999986,1.0,1.0
734866.0,936.0,108764.0,"30-34","F",29.0,11803.0,3.0,4.440000057,1.0,0.0
734881.0,936.0,108766.0,"30-34","F",31.0,4259.0,1.0,1.570000052,1.0,1.0
734901.0,936.0,108770.0,"30-34","F",64.0,1554.0,0.0,0.0,1.0,0.0
734903.0,936.0,108770.0,"30-34","F",64.0,5323.0,1.0,1.289999962,1.0,1.0
734925.0,936.0,108774.0,"35-39","F",10.0,5024.0,1.0,1.409999967,1.0,1.0
734939.0,936.0,108776.0,"35-39","F",16.0,104648.0,24.0,33.33000004,4.0,2.0
734968.0,936.0,108781.0,"35-39","F",22.0,8504.0,3.0,3.340000093,1.0,1.0
734999.0,936.0,108786.0,"35-39","F",27.0,20277.0,6.0,8.050000072,1.0,0.0
735014.0,936.0,108788.0,"35-39","F",29.0,12403.0,4.0,5.210000038,1.0,1.0
735032.0,936.0,108791.0,"35-39","F",32.0,498.0,0.0,0.0,1.0,1.0
735033.0,936.0,108792.0,"35-39","F",36.0,652.0,0.0,0.0,0.0,0.0
735043.0,936.0,108793.0,"35-39","F",63.0,1357.0,0.0,0.0,1.0,1.0
735048.0,936.0,108794.0,"35-39","F",64.0,1393.0,0.0,0.0,1.0,0.0
735065.0,936.0,108797.0,"40-44","F",7.0,648.0,0.0,0.0,1.0,0.0
735109.0,936.0,108804.0,"40-44","F",21.0,708.0,0.0,0.0,1.0,1.0
